Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,39.74,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,39.24,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,37.47,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,39.81,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,55.92,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,43.02,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,30.59,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,32.81,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,29.4,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,40.45,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,42.45,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,44.2,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,52.79,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,36.7,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,49.83,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,32.75,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,43.74,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,36.19,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,34.54,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,39.08,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,51.22,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,46.7,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,55.97,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,67.66,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,64.66,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,68.13,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,62.67,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,59.61,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,55.27,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,56.87,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,52.49,Kilotonnes,Carbon dioxide equivalents
